"12","    Colombia","5,479","5,603","4,876","5,389","5,983","5,887","6,139","5,608","3,647","4,093","5,811","5,936","5,520"
"13","    Denmark","1,278","1,323","1,269","1,057","1,140","1,160","1,234","1,225","1,146","1,211","1,061","1,126","1,031"
"14","    Finland","1,882","1,930","1,678","1,689","1,808","1,777","1,759","1,778","1,694","1,653","1,393","1,421","1,299"
"15","    France","20,413","20,777","19,979","20,256","20,558","21,209","22,241","22,166","20,422","21,903","20,481","21,131","20,250"
"16","    Germany","26,767","26,966","26,491","24,519","24,911","24,953","25,772","25,546","24,011","25,812","23,850","24,187","22,137"
"17","    Hong Kong","1,781","1,773","1,670","1,761","1,751","1,788","1,824","1,749","1,663","1,638","1,627","1,727","1,740"
"18","    India","24,889","25,892","26,861","28,658","28,286","27,181","28,677","28,160","27,254","27,132","24,917","25,083","23,238"
"19","    Ireland","1,093","1,057","966","933","918","935","1,054","1,089","946","984","904","952","874"
"20","    Israel","1,880","1,846","1,793","1,740","1,679","1,714","1,817","1,852","1,788","1,774","1,693","1,729","1,648"
"21","    Italy","12,258","12,520","11,646","14,487","13,362","14,183","14,934","14,848","14,106","15,160","14,346","14,426","14,312"
"22","    Japan","35,390","36,605","35,483","36,701","35,950","34,596","34,560","33,577","32,596","34,158","30,826","30,913","30,062"
"23","    Malaysia","3,474","3,371","3,298","3,425","3,149","3,153","3,259","3,149","2,917","2,797","2,759","2,888","2,625"
"24","    Mexico","11,385","11,272","10,093","7,983","10,420","11,447","11,689","11,199","8,513","9,241","9,624","9,693","8,102"
"25","    Netherlands","6,000","6,048","5,932","5,169","5,788","6,014","6,260","6,038","5,521","5,726","5,616","5,316","5,254"
"26","    New Zealand","1,177","1,163","1,163","1,100","1,136","1,061","1,076","1,018","872","860","1,186","1,317","1,255"
"27","    Norway","1,510","1,489","1,351","1,147","1,303","1,313","1,371","1,317","1,211","1,322","1,187","1,291","1,143"
"28","    Portugal","1,741","1,861","1,677","1,503","1,375","1,452","1,685","1,665","1,445","1,637","1,477","1,581","1,357"
"29","    Puerto Rico","549","469","374","340","439","479","534","456","385","368","428","490","465"
"30","    Russian Federation","26,041","26,179","23,941","23,363","23,140","26,425","27,569","31,231","30,524","31,160","30,697","30,845","29,269"
"31","    Singapore","1,244","1,253","1,245","1,262","1,213","1,173","1,205","1,198","1,055","1,084","1,051","1,044","1,006"
"32","    South Africa","1,951","2,039","1,759","1,936","2,022","1,815","1,905","1,665","1,270","1,618","1,692","1,805","1,585"
"33","    Spain","9,982","10,435","9,722","9,990","9,755","10,333","11,551","11,674","10,530","11,189","10,641","10,975","10,527"
"34","    Sweden","2,600","2,721","2,348","2,272","2,331","2,417","2,536","2,488","2,438","2,472","2,285","2,414","2,167"
"35","    Switzerland","1,927","1,979","1,856","1,693","1,757","1,819","1,804","1,879","1,744","1,942","1,675","1,721","1,541"
"36","    Taiwan","4,099","4,113","4,159","3,999","4,029","4,031","4,115","4,105","3,848","3,922","3,799","4,184","4,038"
"37","    Turkey","9,661","9,538","8,988","8,706","8,043","8,124","8,909","12,459","12,240","12,083","10,182","11,470","11,365"
"38","    United Kingdom","20,365","20,222","19,957","18,477","18,695","18,778","20,140","19,610","17,512","18,339","17,267","16,980","15,905"
"39","    Venezuela","2,794","2,985","2,929","2,658","3,081","3,152","4,476","4,327","2,930","3,923","3,830","4,079","3,901"
"40","    Middle East - Africa","41,062","41,620","38,842","37,774","38,812","39,522","42,520","44,193","41,467","41,828","40,603","43,485","40,949"
"41","    Asia Pacific","115,045","119,197","117,677","121,316","120,185","116,734","120,838","119,321","113,753","113,260","107,207","113,416","107,626"
"42","    Europe","190,229","192,353","182,455","176,767","176,114","184,950","195,496","202,097","190,982","199,883","187,029","191,667","180,168"
"43","    Latin America","69,779","69,932","68,162","61,155","67,071","68,179","72,075","70,864","54,761","54,583","59,520","66,497","63,455"
"44","    North America","100,633","98,666","92,442","95,094","94,693","96,520","99,543","96,223","89,238","85,809","79,780","80,119","73,296"
"","MyMetrix Legend","","","","","",""
"","[P]         Property","","","","","",""
"","[M]         Media Title","","","","","",""
"","[C]         Channel","","","","","",""
"","[S]         Subchannel","","","","","",""
"","[G]         Group","","","","","",""
"","[SG]         Subgroup","","","","","",""
"","[E]         Custom Entity","","","","","",""
"","[N]         Ad Network","","","","","",""
"","[A#]         Alternate Rollup","","","","","",""
"","[X1]         Extended Network","","","","","",""
"","[BSN]         Buy Side Advertising Network","","","","","",""
"","[DSP]         Demand Side Platform","","","","","",""
"","[EX]         Exchanges","","","","","",""
"","[SSP]         Sell Side Platform","","","","","",""
"","[NE]         Network Custom Entity","","","","","",""
"","(u)         Partially Unified - Used to identify entities with at least one child entity that is Fully Unified, but not all.","","","","","",""
"","(U)         Fully Unified - Used to identify entities that are measured and reported completely based on Panel-Centric Unified (Panel + Census) measurement.","","","","","",""
"","C         Census Only - Used to identify entities that are measured and reported completely based on Census without panel","","","","","",""
"","+         Used to identify entities with at least one child entity that is projected completely based on the child's census tagged data , but not all.","","","","","",""
"","++         Used to identify entities that are projected completely based on the entity's census tagged data.","","","","","",""
"","T         Used to identify entities where one or more child entity is projected based on census tagged data","","","","","",""
"","[0]         This Entity is currently not tagged on any platform","","","","","",""
"","[1]         This Entity is currently tagged on 1 platform","","","","","",""
"","[2]         This Entity is currently tagged on 2 platforms","","","","","",""
"","[3]         This Entity is currently tagged on 3 platforms","","","","","",""
"","[4]         This Entity is currently tagged on 4 platforms","","","","","",""
"","w/History         Trend combines media previously reported under different parent and/or different level.","","","","","",""
"","*         Indicates that the entity has assigned traffic to certain pages in the domain to other entities","","","","","",""
"","**         Indicates that the entity is an advertising network.","","","","","",""
"","(v)         Indicates that the advertising network has been verified by comScore.","","","","","",""
"","...         Indicates data used fell below minimum reporting standards and/or data not available.","","","","","",""
"","N/A         Indicates data is not available in the data set for reporting for the specified time period.","","","","","",""
"","#         Caution - small base may result in unstable projection.","","","","","",""
"","##         Directional purposes only - base too unstable for reliable projection.","","","","","",""
""," ","","","","","",""
<span id="lblFileNotFound" style="font-size:X-Large;">The Requested File Could Not be Found.</span>
