"MEDIA TREND REPORT","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: All Locations","","","","","","(c)2009 comScore, Inc"
"","","","Time Period :: August 2008 - October 2009","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/28/2009","","","","","",""

"","","","Aug-2008","Sep-2008","Oct-2008","Nov-2008","Dec-2008","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009",
"158","[P]","    V-Kontakte","16618.8667129219","17272.3188177115","18834.821385753","19240.0337235776","20315.5889054046","20550.7158674119","18513.36943864","19608.8757482703","19667.6394212711","20312.2659563523","21420.0574005451","20435.9774859209","22108.2573605592","22995.2700302496","23568.5426649758",
"159","[P]","    Conde Nast Digital","21325.2292599259","21623.8036861436","23779.5637461038","23987.4132538669","25028.979090177","22886.9653080168","22243.8275921991","24061.3101715294","23885.9199909701","22639.9886535817","21259.4660810737","23372.4033976872","21326.2463718863","22958.8455077638","23529.7777249066",
"160","[P]","    4399.COM","20076.7982522727","19710.3628238148","18437.7029989594","16529.1695164211","16281.6383153994","21817.9212592326","19439.4715991973","17915.1406030307","17622.1239736944","15411.5947299609","15238.4541900147","21135.4967136606","23266.4753576238","20876.09222585","23503.156858114",
"161","[P]","    Samsung Group","18354.4195670974","17995.4250372937","17128.2062282818","21244.12144793","25059.8985381932","16662.0650007233","16192.5683196409","16503.1042616243","17212.7726060418","19582.5305941438","18593.8972506255","19219.6847275575","21096.3580692955","25260.3189485461","23405.4963637731",
"162","[P]","    AT&T, Inc.","28835.8509867437","30215.758327937","22222.7786758595","25373.2303264079","28035.7486265005","25083.0876092349","22239.9869350343","22620.2949934766","23874.5642066864","22246.5317039095","23172.0415734406","23593.4743585816","23460.638891191","23117.6061822523","23199.9889500542",
"163","[P]","    Rising Corp. Limited","17605.9334686221","17188.0521953058","16690.8256646339","16368.451607476","22334.294559114","19129.3445092951","19307.6293782015","15036.8832384051","11826.1284192059","6560.97221004354","6687.91306975725","8989.15421225813","9083.3348408784","11561.7970288533","23115.3074808991",
"164","[P]","    Buzz Media","19269.5841520977","17827.5256597387","20176.7519339681","19801.4032647837","22344.2905162081","21174.5986164395","20067.9005033315","22271.0810363227","21579.0127714851","21481.6390660362","21074.7533904454","23447.0833989642","23415.9698964575","22526.8938939319","22986.6745079161",
"165","[P]","    Axel Springer AG","15073.8920955391","15786.1062896602","15814.3088008556","16256.1740112336","18010.090499875","19556.3356056309","19787.9201868613","20877.3194331174","19658.9246525708","20893.7340857306","19770.1875689265","21010.8945221436","21342.9284813223","21725.2638182486","22735.2243179613",
"166","[P]","    GiantRealm","13482.8246488285","11486.6581307272","13125.1736056831","14965.3882973492","15590.2364898986","16355.0005776454","11629.5309000032","12281.7750685852","11424.7344573163","18516.0611862696","24599.6786547301","23815.4213842995","23433.0166185805","21884.4941149555","22426.2208642683",
"167","[P]","    SK Group","18692.9156958854","18153.5019717639","19936.3850397522","17840.0051819244","20992.3164217706","20185.0554371832","20066.4663227695","21434.697903049","21808.2696504404","19628.711069039","20309.899379059","18763.4059462942","19552.1997161229","20599.051347258","22390.3730115537",
"168","[P]","    CareerBuilder LLC","23505.5143460334","26794.444112869","26815.7226361148","21422.9318851488","19994.4118987344","28753.719368936","24202.6179531604","25942.1011345955","26875.4254324541","23809.0209842012","24041.8042998195","23088.8523066268","21218.6543186205","20940.976405126","22362.3096771883",
"169","[P]","    Liberty Media Holding Corporation","12350.3828622381","15386.4567883453","20320.3671909248","13179.5894071808","13989.3703097538","13836.8432671993","13013.5335387064","13590.8807319154","12573.2256132311","12597.1574501763","11433.8638755793","10728.7973254819","12553.5376312511","15664.5475822196","22332.0864630596",
"170","[P]","    XICI.NET","14952.9023310744","17835.9099226436","17371.9457628412","16415.9278413243","16454.7655844195","14918.9239078015","17946.7072547087","16838.2834347733","15414.2405770375","14735.8838192842","16940.181412922","16943.3593755241","20215.1531436431","19540.9704266012","22135.3824484755",
"171","[P]","    ValueClick Sites","14140.2865114309","14241.223577132","15834.1834613229","16282.4509072173","17592.582377586","15483.7527443679","13553.1115876116","13289.567121979","13968.6995517936","14587.7560931956","12339.9839629038","14451.879138598","14041.8436791115","20033.9427541394","21975.8751026239",
"172","[P]","    Hearst Digital Media (w/ history)","15193.4593986931","16351.1721304757","20629.7994522361","19297.0413677823","21091.4681140048","20316.3018018977","19870.3722200688","21318.267293654","20797.3224080526","24071.9136455004","21702.5423815511","22137.2398704813","23163.0907864085","20982.7726028749","21749.2799011523",
"173","[P]","    NEC Corporation","20782.4474893703","20924.6360229883","19505.8079111005","19189.2994577566","18447.6176376383","19223.8586660032","19235.4718151405","20271.0679120951","19243.9750694995","19613.8443317236","21073.7611211298","20821.4098308872","21115.1755022768","21206.4421869492","21675.9281222003",
"174","[P]","    Sun Microsystems, Inc.","23580.7115048313","22379.3589810476","22512.2106617675","22001.9225982359","24713.4905661779","24834.0603743124","22446.235645462","27285.7698732337","26904.2436021481","22618.1454171174","21877.6518764567","21277.4088420024","22555.8810065085","22783.7156218623","21639.5198742353",
"175","[P]","    McAfee.com Sites","11650.876602421","11475.6129262285","11912.0065751413","16866.4548812459","16922.7474189878","16756.9457302346","12616.3736888208","14069.1591480298","14624.5656443308","13003.9184850599","14089.125137862","15310.9436605815","13049.6026246167","19074.6065700241","21589.2151749031",
"176","[P]","    EZINEARTICLES.COM","11522.9229728131","12130.7871430552","13589.4204904396","13365.6447534173","13488.055086647","16354.9330370047","15573.5908901203","16799.118702321","18058.5339770945","18303.5086089154","17162.0455727936","18643.3961906784","18843.943144974","19092.2191276543","21401.0041308853",
"177","[P]","    TORRENTREACTOR.NET","8256.8703017642","7957.3197535494","8258.7031773685","7980.0038641742","11240.8670940399","13267.3436893435","13282.788465189","14521.455948636","14228.9781504814","16055.8897317531","17158.986350271","18872.7978831559","20012.870460756","20751.2427337783","21365.7263520493",
"178","[P]","    Best Buy Sites","16894.0681430788","15768.5412057919","16058.1681249623","28542.7237781964","35680.4897334659","23915.2780353026","21918.856658846","20867.2193641671","20254.8746039926","19782.2308388116","20215.5676587439","21175.372987152","21931.3050471558","21723.8598257638","21344.5288804128",
"179","[P]","    RCS Media Group","16398.2807705492","18851.4008011342","20696.5359360647","20223.4340418278","17561.0554801309","17583.2372938153","18814.3623968341","20181.0751347434","20531.4326704096","20978.3065692747","20018.6693216264","19832.0307408199","19698.2179444034","21544.4063349786","21200.0725787096",
"180","[P]","    China Telecom Sites","20203.7211942692","17387.890476691","18886.966911","23221.8908554762","19612.7747007424","15247.6818485357","17406.6997264241","18761.1424984988","17521.0224084164","15168.3836274204","15967.190366227","24693.6012158418","18818.1129567239","24253.6193658827","21190.0676873376",
"181","[P]","    SOFTPEDIA.COM","15438.4396049614","14689.2378509836","15229.4133224653","16228.3966220346","17814.2501943076","20363.4841986199","22220.3544069931","23799.0280924755","22959.2801397602","22144.6338370623","19415.6915114414","20184.3463197326","19277.0469093997","18995.9114597325","21061.1083180072",
"182","[P]","    Sony Music Entertainment","12861.6687652786","12424.6547277126","12784.0598710954","12628.8967414778","12371.1958355776","16815.2563270843","16963.0350810801","18500.2440632225","17050.6849657079","16826.8935734741","19691.7257828802","21886.0104394448","17659.9399977817","17959.1461710596","20993.7375279786",
"183","[P]","    SkyCN","24279.1352483931","22523.1392966633","24224.7727563609","22437.49309712","22729.2312727543","19925.4991272171","21882.0264071907","21290.4342560177","18263.913154538","17165.6427893939","19503.6403559107","25365.7288485917","22014.9958524618","18963.6584921952","20796.5419990014",
"184","[P]","    Ticketmaster","20408.2048754619","19872.6606416108","21178.7832036886","20180.95530132","21396.8930250395","19609.4527738784","19038.1681027333","22630.8612534719","20620.7966081798","20194.0037447372","18826.2481871489","19775.3301582378","18993.865137918","19976.5033643369","20755.3135794901",
"185","[P]","    CyWorld","18915.526553896","17394.0945269725","19949.3600771983","18930.8374079794","21852.6265886527","21657.3856553551","21800.7184503084","21046.1493107636","21812.915227702","19448.0891963914","19269.4638050074","18191.2657821595","18581.2803572867","18975.3769225743","20739.4496907435",
"186","[P]","    Fantasy Sports Ventures","6319.8282190961","8477.4970156375","7840.7756568486","8329.0358050586","13134.1677904777","13232.7272282202","11866.7292518481","13702.6718124097","14140.2243295497","13868.9772296147","13708.1561319546","15205.1857175784","16315.7670120276","19788.2289603248","20711.3086623378",
"187","[P]","    Skyrock","18849.6923716089","17219.5895445222","18800.8383911011","19741.8534777731","18365.8802640158","18023.3997948901","20659.8703566177","22731.5247108303","22990.9117080977","24544.3465663423","24019.1657433165","23224.189494954","22459.9991941408","22008.5238647129","20601.1859891394",
"188","[P]","    General Motors","13913.9148566865","13602.5955498124","13277.3709453725","14701.6491227717","17263.9167862404","11636.4850478364","12354.2488303466","13964.7632250543","14399.3664122958","13179.1791772035","13148.6208085454","14260.8133022881","13866.24046125","15081.4525843287","20557.0671674078",
"189","[P]","    Weatherbug Property","25350.2501105494","25563.0179511885","24992.3745188164","25382.1149304507","27125.5160596005","26152.1975953793","24603.8374060271","24340.3420543994","20041.69211642","19226.2044337698","18849.2824487835","19478.1427055258","20859.7260140688","21423.8020350323","20507.9624311913",
"190","[P]","    TORRENTZ.COM","9854.6918034782","9914.9587930433","11057.2259490826","11174.2054273313","12830.5462241276","13967.6868599291","13733.2763636925","17029.3858397519","16761.4831238389","17400.1596924553","17429.274821829","18387.0011559496","17870.6557345011","17933.8242315624","20466.5911207035",
"191","[P]","    Grupo Brasil Telecom","17699.4244146995","17719.5625195286","17446.6195575334","17501.6161363636","18897.4375293029","17475.4143500808","14490.2966218112","20300.7407514396","19851.5030872021","19489.3228686119","19343.2295520611","20877.0814124813","22638.5124052484","20032.3982888088","20447.2891423889",
"192","[P]","    Rambler Media","17810.3909867703","19038.6400531058","18535.5515749396","18312.244355212","19949.241732965","18028.2318093631","17046.6328872018","17210.79545157","16424.0098398002","15547.4710413402","15446.4923096163","15477.5239076354","20498.7030662187","20337.3386205861","20395.9413998777",
"193","[P]","    Organizacoes Globo","19415.6238806771","19671.1883148715","19225.2460557544","18832.5111033856","19671.3634012752","20455.4774297602","20355.8765297863","22126.7768067801","21193.2720413809","20598.5324761282","20329.6207518495","19543.0355058085","21020.2606212128","19524.3123690417","20380.402602275",
"194","[P]","    Sheknows","10880.2637129778","10486.5475442968","11542.1227450168","11095.2781032655","12476.3748413599","12750.6562892196","12806.6663810259","13328.9504662664","13186.5727575262","14037.0226787511","16510.5524455594","19120.9249551824","18773.8102400298","18419.0624078509","19982.1166065134",
"195","[P]","    Excite Japan","17333.2249306357","16588.5430077807","17492.2449626378","16589.1722023599","17401.9217227768","17955.3233173445","17278.3780251797","18021.4217089169","18186.1945632133","18281.1233606837","18982.3056748877","18560.2961501468","18548.1779695929","18997.6448413954","19940.4160384545",
"196","[P]","    Citigroup","23028.4661697503","21599.7526389958","21376.0758590988","21465.3737874985","21819.4054441221","19833.3066920655","20603.6401241275","21735.6690606196","21890.9202149761","20144.4986577063","20226.0945161365","19743.2076146111","21464.4658411093","20061.2064256983","19909.2207960095",
"197","[P]","    YellowBook Network","24363.2019085597","21855.65106285","22554.2342534695","22399.658030608","21778.5226786604","18832.5025076678","17072.5622201006","20159.6596936175","21243.1365353186","21506.0726345975","25234.0326635403","23446.0027969212","20035.8337056655","20463.379676756","19906.9854928684",
"198","[P]","    Kakaku.com Inc.","12220.1812595541","12284.3807298629","12483.6583244836","12747.3107852028","14170.7495144361","15776.1949488753","14578.0653126728","15940.8475223383","15384.6119973493","16113.3477127718","17768.3741646075","18491.2600664288","18572.2381646212","18978.6680447066","19878.9557484822",
"199","[P]","    People's Daily online","18934.0590962833","18336.5076721472","16275.0952286461","17400.4538848111","17147.4551313264","13990.20043825","19634.9067243972","18673.8335819809","17826.8311420014","14255.6573201246","17285.0594151478","16722.2955079884","17913.9955605376","19167.0118356619","19780.7949692496",
"200","[P]","    Sears Sites","16753.5262808373","15297.3376328305","17461.4081344713","26825.4265970578","29765.6047927896","18074.5487739067","16912.9496885135","19013.287599939","18836.8656635575","20019.8410333212","18416.5515110395","18531.4300882893","19462.7228133269","17987.775904958","19724.7673402138",
"201","[P]","    Tribune Interactive","18656.8780085802","18665.3398156941","18855.0331916675","18816.2391232828","18684.0245306837","21245.3177726128","19389.0591486882","19275.7177028834","19634.725229902","20832.3498202849","19036.3432015534","20694.2857280819","18714.1126343575","20501.5559426908","19669.0369039237",
"202","[P]","    China Mobile Sites","23318.1818758727","23856.9637811629","22748.8930671958","21360.9018095531","23934.1400608067","21890.7648864746","21996.1284707831","19611.732906417","17805.5023599899","14122.9476692029","15482.3230222524","18082.1344763816","20578.5202856932","19662.0552327099","19459.724263102",
"203","[P]","    Internet Brands, Inc.","11076.5681073101","10222.6784321035","10500.6715963772","10230.4185128894","10149.0304672204","11736.0015456621","11492.6741345955","13405.7287092625","13027.4249263867","13397.4920673362","11986.3221710343","14108.5236197852","19372.4201982919","18318.7870456368","19433.3222381393",
"204","[P]","    Globe7","18891.0997768288","19915.9328712051","17513.451309758","17057.8587464177","15651.0259097923","17790.4208209737","23645.8229987462","28632.9889547053","22903.1732963924","27428.2910495151","21030.4179944392","19368.0099750194","18750.5707701624","18086.5886015264","19426.4674100721",
"205","[P]","    JPMorgan Chase Property","15044.1015490911","14720.3846382516","21985.3154730698","20842.8504366177","20889.8355268463","21028.4184343988","19527.46860361","19449.6465769567","19744.1533455966","20174.3805392534","18579.9063814938","18610.0466789638","18844.8865625406","18966.5527689752","19375.8874274732",
"206","[P]","    Groupe TF1","13914.4641901395","13398.0150210608","14157.1595083244","14317.9991783581","14206.8230977063","15589.4287713014","16518.7796569001","18314.0138262639","18674.6991798517","18589.389845232","19588.223234505","20103.8916171929","20679.5788066153","20979.5040707775","19358.0079063223",
"207","[P]","    SouFun.com Limited","15149.4090154429","17911.5788654931","13373.3947779175","13621.3145173716","13048.0904372448","10033.5140137151","13055.7919389505","12624.3795555354","11970.3562767729","11039.3073517173","12172.615042339","15037.3615061022","20059.2257110718","22593.3001692816","19322.4030832565",
"208","[P]","    DailyRadar","7514.384852034","6375.066520392","6640.274424621","7195.9372312822","9496.1603706325","9393.0420621884","9960.84800523991","11429.4692759931","12638.982256694","12703.7713756323","13962.0708566269","15505.1735854585","15525.9030267968","17760.5397123814","19114.8106300949",
"209","[P]","    Gruner+Jahr Sites","11746.5037134311","12504.2287809544","13049.631760502","13632.8470439808","13667.8420414416","14905.4827593197","15090.2439083735","16009.0287735001","15421.4161725652","15271.1841461825","14983.1785618825","16168.845673476","16677.5723963634","18533.9327686138","19074.7996139011",
"210","[P]","    gretech","16087.9259402835","15927.8479960314","18786.8076556378","17449.9912381978","21086.4585384286","24313.0102095325","17512.3885077854","18301.4319531717","19019.7211114535","18326.8808293569","17528.1921418852","18684.2430818016","18781.6541355724","17402.1015782906","19058.7224047118",
"211","[P]","    TOM.COM LIMITED","33366.8332978464","32311.5151052565","31705.3467505681","29319.9350891173","30411.6996891743","24758.6577622487","24633.3839555318","22293.1803308452","23686.3272844047","21617.8886211623","18953.1076047915","17361.2876670968","18557.9071331857","17238.6850848103","19032.2901332181",
"212","[P]","    Hulu","3321.2239940708","3486.7367776566","6066.5159075878","5641.8365908333","5361.8432719893","6232.787151154","8771.12441410522","7543.05426316188","9204.70152720656","10392.6250030224","9081.1463143936","8656.27299477088","14020.3475006662","16031.4850280646","18879.2012612663",
"213","[P]","    SNDA Sites","18842.9642235104","18915.7938509927","18752.0181234518","21162.3254500642","19831.6717805609","13967.8806646646","13940.4131171775","16086.7559395315","18727.8757153499","15566.5658089756","21728.7089879206","21992.866600055","26380.2046992887","19840.0158911887","18832.8805563926",
"214","[P]","    Experian Interactive","18429.266896158","17568.0415734249","19318.9870607458","17887.733686188","16097.6581111181","18948.5788588409","16904.241012112","18479.0983750028","19164.5423749513","18511.1356674886","18259.1065522864","20732.8935701612","20224.490446761","19722.9334545471","18818.0664767457",
"215","[P]","    WorldNow Sites","18592.9891916427","18989.2667468445","19037.9724712369","19071.9027997593","20476.5980487495","21708.4950425895","18102.4211867145","18304.0628247239","17366.9908008397","18109.8290469462","16899.3992213575","18304.9801785653","18278.5208516237","17517.7420702913","18719.4264781926",
"216","[P]","    Pearson Education","12157.880186169","15507.7178921412","17095.5613446496","16523.7852795612","14953.0861125712","16672.601135752","16580.1199530383","17106.0008228336","15558.7051817864","16409.6765115169","13630.086889391","11687.4639371754","13298.060034299","17772.4119187219","18627.6167047691",
"217","[P]","    Recruit Co., Ltd.","15963.4641397077","16404.671920985","15532.8771361562","15997.5313972442","16976.8994341796","18164.8838239969","17031.6911784295","18652.2615310778","18491.0433595046","18005.4391537862","19674.0244840152","19420.5416459228","19602.9016355853","18560.8022715561","18580.7824161905",
"218","[P]","    HSBC","19787.2344647047","19296.8544019654","20879.1380682461","19962.6807923598","20201.9493092592","19626.5764893285","19085.976927441","19873.3795710832","19303.4773751454","18728.1340836229","18072.5999005626","17857.6285880256","18199.6761642418","18364.6560401325","18578.1012235696",
"219","[P]","    Groupe Pages Jaunes","14361.3276985294","16252.741249069","17394.558493297","16838.9646554363","17513.1189785826","17698.74599186","18297.7003005541","18991.3582713013","19605.7376327195","18118.2860857097","18091.8878817924","18420.0423318606","17890.7580849889","19089.1388962676","18499.7620018005",
"220","[P]","    NFL Internet Group","14013.0343442218","18036.5340526431","16727.3328338278","16458.6903567063","17756.3074316432","14717.2348767294","9401.82512794153","7083.76986276356","9055.20482404371","6605.04501797136","6265.05384781035","8231.46781634476","15081.442790046","19236.3632046125","18430.5081952894",
"221","[P]","    BitComet (App)","17649.2763688197","18314.6175416858","18291.9768989763","18318.8968830768","19123.9135496489","18513.288146866","18896.97213761","20772.8251310382","20253.9513942012","19272.5174334976","19294.8829395597","19106.4502403019","18548.2736132275","17580.5645099167","18420.6587321007",
"222","[P]","    ZIMBIO.COM","5212.4476306289","6215.6704448125","6387.9733366249","6494.8219895398","8432.3270063395","9837.0976460779","11602.9607377642","11975.7190946996","12255.2678746173","14676.8892989345","13633.4927423714","15043.5768099953","15238.2416270164","18245.554774881","18357.5873907514",
"223","[P]","    IKEA","15293.9587467104","15310.758446425","13957.8910021108","14821.6914489496","14152.3989536822","17089.2499547456","16312.0328188657","15862.3184426674","14797.4065845943","13435.0900776065","12580.930351703","14939.0059248908","17362.3895404091","18501.5047325876","18322.8843403869",
"224","[P]","    Seesaa","14845.7801472512","15122.2187678544","15276.7012096326","14359.6652111209","15125.6566934459","15782.747141744","15301.6295384559","15645.9097657475","15575.2122198494","16323.488209859","17225.923103907","16797.9258230303","17602.0724622207","17014.6844493033","18295.4890181782",
"225","[P]","    PPLive Inc.","N/A","31257.2762389957","31418.95131458","29471.9839674384","24329.6447943356","20474.3977382256","19326.5255473387","17486.9967338671","18712.5095771431","15439.2911581161","16226.2078888324","17337.0666614365","18038.4114330736","15356.1618297574","18229.2626532175",
"226","[P]","    Wikia Sites","N/A","N/A","N/A","N/A","N/A","N/A","11981.037739999","12347.7406227875","14134.7380452458","14273.5515742179","14200.4786825061","16456.9731557606","16963.051902093","16438.1903829281","17902.2577826427",
"227","[P]","    NING.COM","6867.2251712641","7820.4982576072","8368.3427737986","9196.4094580212","9491.0664443656","10917.8366383479","12665.2108961034","15353.1461686063","15712.8460942883","16516.1245208209","15228.1363940831","16656.5415800673","16455.3752104443","16456.7360363118","17756.3268427416",
"228","[P]","    FRIENDSTER.COM","36842.1782274902","35147.8686639347","33530.7914338006","31324.9134223337","29869.8203946493","27049.2369741663","25904.6440800294","25091.8504859053","23516.4274580668","21083.0577185398","19554.0372864616","19128.8355280619","19206.3463462412","18363.0787068682","17748.059375571",
"229","[P]","    THEPIRATEBAY.ORG","8934.8201609444","8754.8996490201","10173.4622964642","10915.5906038763","12838.8460348565","13904.9035903118","14599.8414650635","15690.059042474","16167.5017529126","16152.152061451","16135.608067374","17680.9597794704","18356.5010684982","17558.74610418","17707.3700489964",
"230","[P]","    NIH","15492.3392489754","15532.0151102307","16322.7559904694","15890.1031936289","14114.0260846293","16355.4784854713","16553.2569510815","18873.6075169962","17657.7101393896","16479.6114102816","14763.9944683567","14565.5629211678","14702.8076747386","15676.9702596924","17634.6400711264",
"231","[P]","    Grupo Prisa","12398.4197190436","13504.7018516181","13762.441054085","13795.8412921066","13737.1961639159","13961.6269124091","15123.4529760863","16818.1529862941","16943.7398740829","17928.8818285116","17287.2775091693","15491.3378829446","15584.5069592925","17395.8548730693","17555.7767630514",
"232","[P]","    SHOUTMIX.COM","10334.7248558354","11609.0788510542","11553.6135193132","13350.6232549239","12460.3256254743","13239.9970472323","13810.6639519101","15565.2771556802","15400.8772413865","16049.1179636991","15395.0433514985","16514.4728306258","16983.0880363623","17222.2923524301","17529.6515327547",
"233","[P]","    Vivendi","7901.473781795","9290.7100967247","10150.844149827","11670.2544608784","12720.5069283051","11560.7608649656","11799.4524950296","13224.2340009554","12938.4060489995","12871.6186463086","14700.9063165635","15170.5773186922","16126.3669135229","17871.38042256","17372.1222301185",
"234","[P]","    Grisoft","19729.1839368255","17506.3159201277","19808.4729456098","22607.1604935128","20791.5734442297","22630.0214504361","24566.20698827","43348.4471051247","42607.3713405754","38316.9309238282","17927.4213321575","17566.3984706499","16391.8788990263","15285.0578914944","17248.2966324011",
"235","[P]","    Benchmark Group","10245.8759793789","12225.8014827454","13773.589091595","13942.8440454012","14458.7780766672","15453.9544610015","15909.6350411573","16653.4215719652","17093.514616751","15968.0864661073","15212.8082822551","15226.6515887292","15015.4653479335","16961.286897781","17196.3275267612",
"236","[P]","    JFG Networks","7927.7824744774","8541.1360442306","10063.5697667116","10366.4880091503","11014.8034495405","11500.4576907682","13752.8570594337","14493.8656007522","14584.8647939499","14893.1603111003","14864.3438478326","15642.0497668164","15456.9034393331","16974.3628802853","17182.9620266489",
"237","[P]","    HEXUN.COM","20772.1479856111","22890.7199306242","22863.6528993092","20153.1792221735","21561.9741420198","14999.1859017574","18182.8882456919","19200.6445951634","15288.9128134548","15467.0253923241","18436.0167931705","17123.8304107144","19433.5101212315","17784.5556908402","17176.2627190742",
"238","[P]","    Hispavista Sites","11271.5307999809","11690.4637119073","12068.1985525619","12316.4379461007","12523.2771425574","12622.5292100805","13067.8002244137","15014.7993445642","14848.0665567811","15995.2899414552","15784.0337832537","15274.4997460911","15776.8665096018","17144.4804380822","17168.9582603855",
"239","[P]","    The Washington Post Company","15819.4777708042","16200.9154082081","17106.8853982914","17001.6211445865","13675.5080864076","17191.6993192729","12949.4475300861","14957.4710829861","14920.2704334493","15372.4285663157","14439.475125207","16442.1001359693","17854.4403387363","16121.5595844715","17123.8103774027",
"240","[P]","    Groupe M6","11519.857829596","13207.4592969119","16341.3093524355","16079.9321967192","15926.7022012726","15391.5127599913","15353.9488614028","16301.6712043584","16235.2896292963","16093.1314386886","16062.9399831271","16802.6024899716","16075.7140568623","16781.6925379895","17104.9044247454",
"241","[P]","    Travelocity","12378.051494863","10777.4555400443","10728.9743897509","9714.0529634052","9835.8262978788","12610.7485671001","12781.1621142264","14015.6652435568","13267.8040201037","11801.1408511699","20031.5131302081","23335.855945275","20772.6255736137","17665.6528810926","17081.5394433909",
"242","[P]","    HotChalk","7802.0676315779","11178.834500278","12209.2922093057","11368.8689953728","10580.835423694","11817.0651033967","12225.783940345","13940.8241141107","12281.136707214","12450.5115820389","9184.28631362465","7872.60756178944","9519.6194628103","14969.8823528596","17022.7897292819",
"243","[P]","    Wells Fargo","10542.1822641925","10121.8744340096","10359.5087664885","9625.094399765","11043.4124537311","11054.8331239348","17087.9523073348","17869.555960203","18034.7274853871","18248.206963049","17233.7488923231","17328.5076254527","17352.9537123976","16883.4524275951","16938.4617293887",
"244","[P]","    SOFTBANK Group","15304.0896924791","14601.3385483245","14653.2767779515","14383.4653841433","15247.2494368119","15632.984401625","15253.9978543839","16509.9506217955","15345.3351170247","15729.5242441146","17308.7253284046","15862.5213296061","15860.8484884114","16807.865780955","16892.2358784737",
"245","[P]","    BEEMP3.COM","2621.9967050354","2778.8418961463","3818.2244206679","5045.0565607922","7149.6778957079","8765.4677142713","10095.5230717088","11929.1032149757","13436.1625220302","15391.2238289262","15177.5583990522","15953.1457458414","14525.852870023","14084.5133577281","16869.9793192388",
"246","[P]","    Steam (App)","13549.4233524268","12898.5280302885","13122.3783289714","13760.8257931675","14177.2735434182","14157.052473664","14888.3719474313","16358.11675433","16150.9647024165","17456.3676776767","18442.7509870366","17443.0613610243","17217.4193870925","16776.3754456916","16760.3388297483",
"247","[P]","    Gawker Media","12262.6371225813","11400.3371700383","12859.4967353749","11609.141059951","13368.3069377197","14476.2811816698","13750.9581651503","14015.1750379117","13887.0310083371","14732.5774574279","14405.8876832855","16155.4515628446","15405.4073850034","15185.309331234","16717.7324135141",
"248","[P]","    QIANQIAN.COM","7917.0358532863","8944.2843301333","8994.5308615388","12628.263517875","14272.5206759864","12551.8202647216","15151.5770105439","19714.669560242","18596.8626884252","15198.1920330886","18204.9485091306","21978.8271497204","22083.4576731107","14567.6716380409","16609.8802953204",
"249","[P]","    Hatena","13285.44259953","13516.0500174526","12379.610945604","12213.5917052984","11860.4604631228","13228.3420464426","12279.2084516577","14164.9331715546","13552.0174812105","14664.135133268","16079.3794611306","15586.8582811856","16344.7914285838","15766.6545494988","16558.1994670611",
"250","[P]","    News International","14951.0316223661","14539.6865048698","14792.0804451386","14441.1951672934","14866.5739047297","17076.4033681139","20094.1198949676","17611.0649367826","16923.5110179453","17120.4313680257","17059.4301250743","18073.1884052033","17391.0843821295","16209.3076153377","16453.2396892394",
"251","[P]","    Orbitz Worldwide","26349.7868892059","22027.4552253268","21752.3395502669","20985.4667806046","19535.5785028344","24113.73161438","21903.9909321836","21791.0437225633","19661.9955696073","17097.3110281277","17833.0830405446","18896.9296874285","17018.1857019752","16363.6921590725","16360.1305919982",
"252","[P]","    WhitePages","22336.9942486167","20819.0552843436","21546.2444299553","19997.8202314855","23535.6537149001","21597.0703766215","21310.0237000356","22887.7692797934","20399.9741429395","18129.1959647247","16927.7642281082","17641.7772517225","17356.5170210451","16436.6142675643","16247.5800423918",
"253","[P]","    Groupe Spir Communication","8697.6914740042","10589.8199266261","11735.6932072854","11323.0616735617","11292.8856064279","11801.9092285968","12669.2279410942","14935.9909435117","15051.8959103254","14410.6727456202","13921.538127234","14748.4095226348","15390.3267760975","16594.3112987591","16130.6081402035",
"254","[P]","    Samurai Factory Inc.","14663.1970713742","14504.0379787301","15143.1744399113","14587.2289296072","14532.3765003294","14792.5217135643","14365.6549882862","15358.0933404515","14960.5062710439","15320.6018972392","16355.5246700414","15347.0067857224","16625.5029392393","15978.1670987227","16115.5495432054",
"255","[P]","    LG Group","10954.5355731511","10778.7677336376","12046.5581299062","12149.0051820032","14063.030762648","13108.1001029156","12316.7858844276","14387.4784438588","14232.330807033","14300.2446497943","15442.1566141044","14413.2956179239","14738.3748389972","16236.9287679034","16057.2825107831",
"256","[P]","    Infospace Network","12739.4312847911","13667.2013729983","14340.8055052271","13187.9578617507","14774.1763397522","15541.4151147758","13635.4699453046","13379.4830994376","14813.7695751813","16451.5047028154","15395.0489162384","17145.585296028","16820.8962713549","15696.1249289965","15947.6280087747",
"257","[P]","    Universal Music Group","12954.9232312874","12937.2885944858","14439.3592377097","14705.8392760104","15801.4171130332","16969.2745291345","15814.6086694509","18557.1204557784","16401.9887768107","18286.3713273528","16892.8055035671","17362.2299940776","16176.1396306257","15802.8960921055","15940.4444537561",
