"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: March 2011 - May 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/18/2012","","","","","",""

"","","","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012"
"35","[P]","    UN.ORG","1,947","1,793","1,733","1,669","1,270","1,517","2,299","2,457","2,773","1,949","1,931","2,502","2,805","2,187","2,699"
"36","[P]","    SCIELO.BR","1,436","1,384","1,645","1,633","1,243","1,942","2,736","2,858","3,141","2,150","2,100","2,344","3,522","2,342","2,482"
"37","[M]","    LAROUSSE.FR","1,333","1,449","1,316","1,048","920","1,079","1,609","1,779","1,794","1,980","2,098","2,394","2,346","2,366","2,465"
"38","[P]","    BIBLIOTEKAR.RU","1,459","1,499","1,663","1,467","1,079","974","1,806","2,335","2,467","2,222","2,130","1,900","2,131","2,039","2,442"
"39","[P]","    TURNITIN.COM","1,772","1,824","1,704","1,008","815","994","1,833","2,392","2,281","1,722","1,734","2,240","2,949","2,564","2,427"
"40","[P]","    CONSUMERREPORTS.ORG","2,387","1,601","2,003","1,743","1,897","2,021","2,011","2,234","2,949","2,520","2,413","2,302","2,448","2,163","2,411"
"41","[P]","    MIRSOVETOV.RU","1,531","1,470","1,539","1,606","1,855","1,771","1,894","2,275","2,390","2,479","2,630","2,474","2,704","2,242","2,338"
"42","[P]","    TURKCEBILGI.COM","2,659","2,689","2,691","1,941","1,837","2,065","2,623","3,206","2,689","2,655","2,310","2,243","2,643","2,616","2,312"
"43","[P]","    ASKMEHELPDESK.COM","1,974","1,577","1,470","1,509","1,454","1,113","1,339","2,520","2,260","1,944","2,079","2,083","2,087","2,354","2,310"
"44","[P]","    WOXIKON.DE","1,937","1,611","2,009","1,734","1,623","1,652","1,842","2,288","2,244","2,094","2,253","2,108","2,123","2,140","2,305"
"45","[P]","    COINMILL.COM","2,265","1,900","2,212","2,362","2,737","2,556","2,815","2,870","3,018","2,745","2,894","2,067","2,289","1,930","2,251"
"46","[P]","    WORLDCAT.ORG","1,125","939","996","931","909","1,259","1,897","2,202","2,218","2,052","2,167","2,489","2,491","2,315","2,179"
"47","[P]","    GUNS.RU","1,668","1,593","1,656","1,546","1,843","1,635","1,772","2,040","2,089","2,095","2,235","2,362","2,438","2,202","2,135"
"48","[P]","    ONLINECONVERSION.COM","1,320","1,146","1,411","1,493","1,311","1,624","1,827","1,779","1,721","1,640","1,892","2,169","1,959","1,601","1,987"
"49","[P]","    123HELPME.COM","1,612","1,354","1,478","859","652","624","1,323","1,665","1,789","1,366","1,318","1,647","1,829","1,651","1,903"
"50","[P]","    PEOPLES.RU","1,667","1,449","1,367","1,235","1,321","1,117","1,235","1,419","1,500","1,834","1,878","1,801","2,176","2,039","1,884"
"51","[P]","    ACRONYMFINDER.COM","1,757","1,384","1,376","1,423","1,322","1,140","1,253","1,538","1,474","1,473","1,738","1,715","1,731","1,852","1,869"
"52","[P]","    ANGLAISFACILE.COM","1,107","1,247","1,305","992","838","873","1,225","1,515","1,556","1,253","1,563","1,373","1,396","1,193","1,686"
"53","[P]","    5156EDU.COM","1,203","838","1,749","1,272","846","1,283","1,639","1,683","1,511","2,017","1,361","1,903","1,879","1,772","1,662"
"54","[P]","    SPISHY.RU","1,252","1,346","1,086","174","91","120","1,498","1,455","1,450","1,542","1,362","1,534","1,524","1,845","1,612"
"55","[P]","    SLD.CU","1,048","1,034","1,241","939","887","1,140","1,408","1,531","1,416","955","1,059","1,356","1,515","1,316","1,592"
"56","[P]","    DUDEN.DE","710","615","730","652","747","874","1,125","1,205","1,346","1,222","1,543","1,433","1,618","1,406","1,568"
"57","[P]","    ArticlesBase.com Sites","1,756","1,390","1,767","1,469","1,350","1,336","1,200","1,226","1,262","931","1,005","985","1,366","1,327","1,553"
"58","[M]","    WEBOPEDIA.COM","1,076","904","1,042","1,161","1,071","1,024","1,442","1,557","1,484","1,192","1,563","1,618","1,525","1,569","1,512"
"59","[M]","    QUIBBLO.COM","482","463","784","994","1,075","441","378","488","652","472","793","984","1,176","1,296","1,511"
"60","[P]","    CALEND.RU","979","909","939","899","829","972","1,279","1,272","1,626","1,221","1,351","1,524","1,347","1,768","1,475"
"61","[P]","    ARABIC-KEYBOARD.ORG","1,364","1,296","1,234","1,192","1,208","1,305","1,440","1,605","1,433","1,533","1,531","1,414","1,386","1,297","1,413"
"62","[P]","    TRANSLATED.NET","608","600","766","748","842","947","1,013","1,045","1,146","951","1,159","1,059","1,158","1,067","1,347"
"63","[P]","    TRANSLIT.RU","1,024","887","888","1,003","1,077","1,290","1,160","1,196","1,232","1,322","1,417","1,490","1,468","1,408","1,322"
"64","[P]","    ENGLISCH-HILFEN.DE","965","764","1,049","860","530","511","999","1,244","1,224","1,084","1,046","1,002","1,229","1,066","1,318"
"65","[P]","    Farlex.com Sites","1,121","1,594","1,898","1,130","971","1,139","1,902","1,522","1,124","903","1,160","1,207","1,292","1,247","1,317"
"66","[P]","    BOOKZ.RU","1,064","998","1,169","1,111","1,257","1,240","1,429","1,661","1,719","1,624","1,635","1,401","1,299","1,066","1,252"
"67","[P]","    ALC.CO.JP","1,187","994","1,226","1,177","1,089","1,230","1,190","1,210","1,110","1,052","1,244","1,159","1,075","1,194","1,230"
"68","[P]","    MIJNWOORDENBOEK.NL","1,228","1,023","1,221","1,084","846","947","1,219","1,434","1,371","1,342","1,321","1,316","1,394","1,246","1,205"
"69","[P]","    LAWTIME.CN","2,825","1,675","2,330","2,051","2,132","2,168","2,496","2,475","2,633","2,846","2,584","3,111","2,384","2,358","1,204"
"70","[P]","    KLERK.RU","1,551","1,426","1,168","1,133","952","800","980","1,130","1,105","1,128","1,329","1,446","1,454","1,367","1,186"
"71","[P]","    SMARTDRAW.COM","1,074","899","1,152","1,004","1,062","923","1,153","1,197","1,386","1,086","1,428","1,247","1,320","1,115","1,184"
"72","[P]","    SERIALSSOLUTIONS.COM","789","682","601","465","471","588","891","1,061","1,058","863","1,071","1,156","1,466","1,451","1,136"
"73","[P]","    ALDEBARAN.RU","1,027","1,013","1,025","995","1,061","961","1,123","1,197","1,143","1,175","1,350","1,179","1,281","1,006","1,123"
"74","[P]","    BrainPOP","903","810","804","501","324","607","1,138","1,438","1,305","925","1,275","1,482","1,284","1,071","1,122"
"75","[P]","    PWN.PL","956","854","968","784","510","550","898","1,033","1,084","954","1,183","1,034","1,064","947","1,106"
"76","[P](u)","    QUESTIA.COM","1,978","1,452","1,155","695","585","699","904","1,365","1,517","1,053","1,118","1,320","1,370","1,386","1,102"
"77","[P]","    DICOCITATIONS.COM","834","803","899","891","531","591","615","638","807","890","1,151","1,026","850","789","1,101"
"78","[P]","    SCIELO.CL","584","616","681","571","511","707","992","1,014","1,080","641","684","913","987","919","1,084"
"79","[P]","    BUSINESSBALLS.COM","946","844","932","773","900","944","1,228","1,142","1,053","1,079","1,043","1,086","978","869","1,065"
"80","[P]","    ABBREVIATIONS.COM","637","719","947","1,034","930","932","1,019","1,188","1,269","1,245","1,019","805","925","836","1,030"
"81","[P]","    EMERALDINSIGHT.COM","653","665","805","524","414","556","731","966","1,019","1,011","836","899","1,086","1,162","982"
"82","[P]","    PHRASES.ORG.UK","886","763","908","918","745","844","956","1,125","1,063","1,555","1,210","1,156","1,114","976","979"
"83","[P]","    SLOVO.WS","500","586","455","131","50","79","826","656","622","879","779","883","776","979","966"
"84","[P]","    VDICT.COM","790","695","786","751","653","1,126","1,127","1,219","1,144","1,014","861","1,035","1,101","1,102","956"
"85","[P]","    HOWTODOTHINGS.COM","1,990","1,165","1,169","1,068","1,066","996","1,098","1,065","902","858","699","785","796","957","924"
"86","[P]","    THAIGOODVIEW.COM","970","748","1,198","1,557","1,553","1,739","1,986","1,237","1,488","1,621","1,782","1,139","850","523","910"
"87","[P]","    SYNONYMES.COM","503","473","540","452","325","460","655","753","728","606","690","827","884","690","856"
"88","[M]","    CODEGURU.COM","481","455","501","438","329","363","405","663","821","542","645","704","742","690","828"
"89","[P]","    TRADUCEGRATIS.COM","1,006","928","1,064","1,000","990","1,200","1,430","1,259","1,145","1,078","1,086","1,094","971","823","826"
"90","[P]","    MOREWORDS.COM","544","506","641","576","568","665","916","983","864","911","1,164","1,110","1,104","963","825"
"91","[P]","    DEXONLINE.RO","646","541","655","573","507","543","741","841","887","804","892","859","821","656","822"
"92","[P]","    SOZLUK.NET","697","624","655","547","532","910","971","1,048","1,016","1,121","1,098","886","868","873","820"
"93","[P]","    VERTALEN.NU","955","899","981","976","759","781","902","921","895","821","968","884","891","766","811"
"94","[P]","    TRANSLATE.PL","844","759","945","715","622","684","790","847","915","851","961","775","763","665","804"
"95","[P]","    ZARGAN.COM","1,144","1,085","1,061","879","887","935","1,006","1,238","1,189","1,152","1,070","958","1,015","858","777"
"96","[P]","    ENERGYGUIDE.COM","869","916","710","955","994","1,050","1,001","1,100","970","958","898","925","918","814","769"
"97","[P]","    MIRSLOVAREI.COM","796","801","1,035","822","271","218","495","812","735","814","648","596","763","761","753"
"98","[P]","    ACTUALICESE.COM","619","591","700","649","650","806","815","861","885","663","790","775","755","724","750"
"99","[C]","    BIOLOGY-ONLINE.ORG","525","410","456","341","244","319","717","900","967","733","776","975","869","798","740"
"100","[P]","    NOLO.COM","348","430","382","462","501","564","458","599","625","520","670","748","846","572","735"
"101","[P]","    UNIVERSALIS.FR","615","415","558","409","244","276","402","521","516","427","511","515","609","728","728"
"102","[C]","    ALLEXPERTS.COM","950","851","965","852","707","645","695","683","701","632","650","696","638","738","725"
"103","[P]","    ENGLISHPAGE.COM","728","542","765","628","464","461","758","827","805","646","672","722","766","593","723"
"104","[P]","    BNF.FR","624","584","431","431","315","523","598","755","669","840","864","718","626","671","706"
"105","[P]","    POETS.ORG","375","409","375","270","219","299","321","485","492","500","500","629","616","745","665"
"106","[P]","    POEMSOURCE.COM","511","535","827","660","405","490","464","524","496","610","482","788","358","363","660"
"107","[P]","    HONEYWELL.COM","610","487","467","470","395","512","546","603","681","419","621","604","586","688","659"
"108","[P]","    TOPLUMDUSMANI.NET","475","491","407","238","182","200","392","750","801","844","681","605","789","796","658"
"109","[P]","    OMNIGLOT.COM","452","425","501","558","606","641","733","775","711","804","676","655","702","670","650"
"110","[M](U)","    COURSEWORK.INFO","709","510","427","303","149","124","365","393","408","300","430","609","669","622","646"
"111","[P]","    MEGAESSAYS.COM","744","597","632","395","247","293","556","529","532","448","415","416","458","457","641"
"112","[P]","    JEWISHVIRTUALLIBRARY.ORG","360","343","407","281","206","296","416","530","495","468","490","495","512","445","621"
"113","[P]","    FAMOUSPOETSANDPOEMS.COM","668","678","775","531","389","347","431","553","583","410","457","514","570","562","611"
"114","[P]","    NEWWORLDENCYCLOPEDIA.ORG","723","629","829","528","404","452","712","751","527","510","517","529","622","515","606"
"115","[P]","    EXAMPLEESSAYS.COM","1,161","874","967","668","506","451","872","1,053","1,064","835","733","872","893","900","599"
"116","[P]","    KWINTESSENTIAL.CO.UK","483","407","463","381","433","265","427","457","531","427","508","594","700","498","599"
"117","[P]","    ALLGREATQUOTES.COM","1,732","1,212","967","794","773","648","497","450","367","368","470","316","476","349","581"
"118","[P]","    INGENTACONNECT.COM","561","496","420","370","373","478","508","627","657","480","527","648","729","810","579"
"119","[P]","    GOGEN-ALLGUIDE.COM","435","379","361","446","413","492","610","636","527","620","745","570","666","575","575"
"120","[P]","    MANSIONINGLES.COM","611","470","590","481","427","521","615","705","767","390","580","666","692","488","545"
"121","[P]","    WIKILEARNING.COM","1,140","1,071","1,284","1,082","817","977","690","685","572","296","343","428","496","440","532"
"122","[P]","    QURANEXPLORER.COM","474","387","464","543","550","928","489","501","387","440","493","491","488","451","526"
"123","[P]","    STARS21.COM","713","587","718","744","694","624","550","507","616","637","636","613","545","507","519"
"124","[P]","    QUECHOISIR.ORG","363","327","421","418","321","327","323","596","421","522","995","724","632","520","512"
"125","[P]","    BUSCALIBROS.CL","547","482","484","350","264","360","333","288","305","185","162","295","509","473","512"
"126","[P]","    ERUDITION.RU","474","454","602","242","67","50","277","368","385","507","355","298","402","419","511"
"127","[P]","    REPEC.ORG","646","616","571","418","351","353","430","591","533","574","592","500","632","709","508"
"128","[P]","    INFOVISUAL.INFO","294","252","299","228","246","270","393","441","442","234","307","386","350","386","504"
"129","[P]","    LOTSOFESSAYS.COM","664","405","485","269","193","212","368","373","443","213","206","255","398","407","488"
"130","[P]","    SACRED-TEXTS.COM","443","369","389","338","319","454","548","537","556","414","561","604","544","563","483"
"131","[P]","    EGO4U.DE","474","265","395","323","161","139","343","476","510","459","449","334","381","317","478"
"132","[P]","    WWWW4.COM","512","537","588","446","152","131","243","197","276","303","278","319","335","375","477"
"133","[P]","    NOODLETOOLS.COM","284","302","343","201","103","61","232","328","459","351","422","482","579","437","475"
"134","[P]","    PSICOLOGIA-ONLINE.COM","393","308","452","410","341","380","461","604","475","338","387","548","470","392","466"
"135","[P]","    U-S-HISTORY.COM","336","289","352","154","123","97","420","451","463","343","462","478","466","357","463"
"136","[P]","    STROYPORTAL.RU","311","347","338","362","375","354","324","397","377","336","331","378","425","451","455"
"137","[P]","    USHISTORY.ORG","407","294","295","228","254","240","695","806","516","453","462","516","479","499","452"
"138","[C]","    LIBRARYTHING.COM","920","611","771","690","626","602","819","1,004","1,073","946","839","618","499","476","438"
"139","[P]","    DEFINICION.ORG","468","322","333","264","150","269","333","350","326","140","209","375","477","387","437"
"140","[P]","    EVERYTHING2.COM","457","327","322","294","180","235","296","371","262","134","248","345","365","327","423"
"141","[P]","    WEBSTERS-ONLINE-DICTIONARY.ORG","738","604","617","531","437","555","495","523","457","470","463","454","458","426","422"
"142","[P]","    ONELOOK.COM","410","342","373","320","297","321","426","478","380","402","482","512","461","438","420"
"143","[P]","    MYDICT.COM","620","510","518","451","343","373","355","415","529","562","390","362","347","336","397"
"144","[P]","    LEXICOOL.COM","466","470","468","367","327","312","407","429","437","402","425","370","471","426","394"
"145","[P]","    ALTALEX.COM","284","247","291","271","241","184","340","369","374","306","386","444","415","347","369"
"146","[P]","    BIREME.BR","371","404","503","370","238","346","407","408","440","237","212","236","317","304","364"
"147","[P]","    THEOI.COM","185","226","239","176","175","197","263","316","283","282","334","330","368","338","360"
"148","[P]","    OSZK.HU","270","203","234","183","167","277","441","340","284","247","274","225","253","241","356"
"149","[P]","    GEOGRAPH.ORG.UK","386","342","394","369","378","371","370","489","362","324","435","571","562","425","353"
"150","[P]","    VICTORIANWEB.ORG","185","223","187","192","175","117","292","268","243","246","266","250","339","274","351"
"151","[P]","    WEBELEMENTS.COM","327","193","202","157","179","290","509","634","534","441","548","402","438","345","345"
"152","[P]","    ELITESKILLS.COM","288","262","354","230","117","168","276","323","290","230","305","320","401","452","343"
"153","[P]","    WISSEN.DE","627","596","644","579","399","354","508","479","543","417","490","429","336","237","338"
"154","[P]","    INFORMATIONSARCHIV.NET","482","400","585","518","545","425","423","540","385","444","463","424","406","354","336"
"155","[P]","    NYPL.ORG","291","262","323","221","209","255","258","334","264","314","322","315","356","320","334"
"156","[C]","    BOOKFINDER.COM","333","222","427","285","315","423","375","365","343","433","352","379","406","356","331"
"157","[C]","    Voila.fr Translation","938","700","552","619","396","364","588","512","537","381","449","413","441","226","328"
"158","[P]","    YEMINLISOZLUK.COM","353","369","359","270","256","321","319","474","524","576","452","377","353","312","327"
"159","[P]","    OCLC.ORG","171","202","208","172","154","129","299","376","388","249","226","377","376","346","325"
"160","[P]","    CUMMINGSSTUDYGUIDES.NET","287","294","299","218","149","192","326","433","388","250","314","315","250","278","322"
"161","[P]","    ALA.ORG","206","162","141","188","143","208","276","307","323","220","314","285","287","294","297"
"162","[P]","    SO100.CN","347","283","251","101","91","432","275","103","262","367","303","603","251","144","293"
"163","[P]","    ABCPEDIA.COM","426","357","438","412","273","358","379","299","254","217","156","260","266","190","273"
"164","[P]","    EYEWITNESSTOHISTORY.COM","247","181","190","102","68","109","197","240","245","204","215","234","269","230","272"
"165","[P]","    MANAGEMENTHELP.ORG","465","358","302","301","229","204","307","295","302","278","280","257","262","178","272"
"166","[P]","    DICTS.INFO","265","227","306","306","203","223","266","272","282","259","338","488","304","326","268"
"167","[P]","    ABIPUR.DE","309","221","419","210","102","77","171","196","289","198","236","209","226","171","266"
"168","[P]","    GLOSSARY.RU","330","390","457","390","97","99","249","311","328","349","245","169","214","222","262"
"169","[P]","    NOTAIRES.FR","281","196","362","371","242","241","460","384","343","259","301","331","459","309","262"
"170","[P]","    IPL.ORG","173","164","178","175","95","106","164","273","232","185","185","264","339","290","253"
"171","[P]","    BEST-LOVE-POEMS.COM","632","665","857","743","496","429","377","396","360","330","304","437","298","238","252"
"172","[P]","    QUOTELAND.COM","189","123","122","153","157","126","187","266","226","203","205","215","244","227","250"
"173","[P]","    LIB.OH.US","177","170","146","231","216","255","227","280","304","262","303","251","217","230","249"
"174","[P]","    NATIVE-LANGUAGES.ORG","190","197","241","160","201","184","334","333","324","269","273","221","277","243","249"
"175","[P]","    PLANETADISSER.COM","76","191","365","233","54","40","107","146","169","192","101","104","120","154","245"
"176","[P]","    ECHEAT.COM","358","257","303","193","121","117","218","241","291","169","127","193","154","137","244"
"177","[P]","    CALCULATOR.COM","559","560","689","561","525","513","751","847","852","766","711","215","209","213","230"
"178","[P]","    PANTHEON.ORG","233","197","223","136","139","122","222","269","231","177","183","228","215","243","229"
"179","[M]","    Informit Network","171","72","112","66","92","79","137","143","155","138","160","204","240","174","225"
"180","[P]","    FRENCH-LINGUISTICS.CO.UK*","274","193","211","214","159","148","249","318","258","203","202","227","243","215","224"
"181","[P]","    FREELANG.NET","210","175","239","221","207","234","249","266","259","272","321","200","180","186","224"
"182","[P]","    WISDOMQUOTES.COM","743","706","767","634","570","561","658","727","580","483","441","413","368","262","222"
"183","[P]","    LUMINARIUM.ORG","151","169","149","125","93","111","181","210","233","183","296","175","232","181","218"
"184","[P]","    FOURMILAB.CH","325","386","328","300","550","691","695","430","223","228","240","182","240","117","216"
"185","[P]","    ARTCYCLOPEDIA.COM","261","196","157","170","139","187","188","232","212","246","250","272","268","260","212"
"186","[P]","    BrainyMedia Sites","5,464","201","194","123","156","205","214","233","161","168","204","196","132","188","212"
"187","[P]","    KDD.CC","135","169","176","240","196","279","170","106","249","221","144","83","203","237","208"
"188","[P]","    VISUALTHESAURUS.COM","228","193","231","142","161","213","329","299","243","218","228","273","283","246","196"
"189","[P]","    ZENO.ORG","267","254","260","210","133","187","241","225","248","194","199","147","170","191","193"
"190","[P]","    AMERICANRHETORIC.COM","217","186","192","127","144","162","255","161","174","137","308","179","308","264","188"
"191","[P]","    FREEDICT.COM","323","261","292","293","276","325","342","378","348","358","300","224","241","234","187"
"192","[P]","    BIYOGRAFI.INFO","238","199","207","148","181","166","212","282","285","282","252","214","250","285","187"
"193","[P]","    AIES.CN","278","8","160","283","364","125","223","168","198","296","307","278","N/A","151","185"
"194","[P]","    ARKITERA.COM","355","336","337","177","151","144","170","235","218","225","219","222","214","220","184"
"195","[P]","    LECTLAW.COM","374","227","182","164","184","157","176","226","142","143","184","146","148","158","183"
"196","[P]","    VITALREC.COM","272","148","150","111","184","181","109","175","182","139","180","185","202","96","181"
"197","[P]","    MOLWICK.COM","390","231","294","272","179","259","279","238","182","102","145","168","229","198","173"
"198","[P]","    ACADEMON.COM","401","261","223","136","154","80","295","159","186","113","82","118","187","194","171"
"199","[P]","    CUCUMIS.ORG","213","187","237","207","204","185","218","268","227","248","213","209","213","168","167"
"200","[C]","    Virgilio Sapere","163","130","159","133","92","87","142","166","159","112","140","155","156","142","164"
"201","[P]","    JURIS.DE","410","405","322","406","349","148","101","110","179","87","85","120","99","96","164"
"202","[P]","    ATLANTS.LV","242","213","329","168","68","64","184","178","199","200","177","179","160","166","163"
"203","[P]","    NCIKU.COM","260","339","352","219","148","247","241","242","267","299","193","150","237","235","158"
"204","[P]","    LEXINTER.NET","319","293","307","395","146","164","208","176","210","231","187","181","281","375","155"
"205","[P]","    SAIDWHAT.CO.UK","323","227","164","123","105","103","120","144","139","123","113","100","85","82","153"
"206","[P]","    ALLWORDS.COM","183","162","130","135","79","111","144","163","127","124","190","114","140","156","145"
"207","[P]","    WORDWEBONLINE.COM","147","169","220","165","99","169","262","165","132","129","143","129","198","149","142"
"208","[P]","    TOPPRODUCT.NL","220","171","225","196","170","189","161","193","155","153","203","149","139","129","139"
"209","[P]","    YOURCHILDLEARNS.COM","188","166","434","111","118","145","261","248","128","185","218","267","180","137","127"
"210","[P]","    ILMAINENSANAKIRJA.FI","171","158","166","121","99","115","129","155","121","130","123","106","115","93","127"
"211","[P]","    MADSCI.ORG","191","164","119","82","79","55","100","126","112","68","105","101","150","116","124"
"212","[P]","    PETS4YOU.COM","113","154","105","118","179","119","119","146","130","170","99","172","145","100","122"
