"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: February 2012 - April 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 5/17/2013","","","","","",""

"","","","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013"
"10","[P]","    Apple Inc.","290,757","306,808","296,129","301,594","297,900","297,106","289,245","308,688","299,868","300,081","314,241","303,827","289,082","306,872","302,251"
"11","[P](u)","    Glam Media","220,460","212,773","223,379","244,243","215,704","224,483","241,643","252,199","296,357","298,337","296,810","318,758","276,802","294,231","297,215"
"12","[P](u)","    CBS Interactive","253,798","270,398","249,467","247,019","245,461","249,047","255,418","270,247","283,104","283,103","279,517","275,358","245,140","270,899","287,474"
"13","[P](u)","    Ask Network","243,983","263,148","256,039","271,312","266,161","267,977","263,633","240,050","315,681","305,867","317,486","331,927","254,087","273,799","277,281"
"14","[P]","    BitTorrent Network","214,775","222,911","224,746","231,239","229,281","232,224","229,913","230,739","230,614","231,969","238,517","240,352","236,761","247,655","243,892"
"15","[P]","    SINA Corporation","159,730","167,814","158,500","157,930","163,349","169,154","173,504","173,198","172,764","178,113","185,155","179,539","161,851","181,686","243,762"
"16","[P]","    eBay","237,301","241,017","238,224","247,162","238,478","245,569","248,452","248,920","252,380","247,262","252,154","246,959","226,441","244,653","240,874"
"17","[P](U)","    AOL, Inc.","218,284","221,302","215,274","215,645","215,991","208,658","217,044","218,366","224,968","223,002","220,331","226,026","213,157","221,865","217,725"
"18","[P]","    Youku Inc.","105,606","117,610","109,237","104,820","109,842","124,267","124,037","128,844","139,425","146,793","148,691","149,112","131,245","149,580","192,749"
"19","[P](u)","    Viacom Digital","188,965","196,208","192,172","194,945","193,136","186,941","187,928","189,859","193,004","191,589","191,739","189,425","183,334","187,104","187,388"
"20","[P]","    NetEase.com Inc.","110,372","115,776","109,177","109,430","119,691","132,694","136,275","120,893","122,656","129,225","135,638","130,688","108,546","124,012","180,625"
"21","[P]","    TWITTER.COM","178,157","188,006","190,379","200,620","188,483","175,669","170,819","167,131","182,897","181,729","189,780","189,819","175,485","185,095","174,401"
"22","[P]","    Adobe Sites","150,409","158,563","152,712","141,060","137,531","138,414","191,650","163,452","143,165","150,790","135,321","144,067","165,798","169,791","151,617"
"23","[P]","    Tudou Sites","94,665","99,255","96,009","80,186","84,486","95,553","94,803","91,206","92,786","112,643","120,807","111,285","88,456","103,767","142,327"
"24","[P]","    Qihoo.com Sites","58,305","73,112","81,558","83,534","83,976","86,492","88,519","88,627","94,167","99,759","102,009","105,084","106,631","112,337","142,142"
"25","[P](u)","    Turner Digital","122,612","122,156","112,807","114,584","116,304","108,162","112,121","118,492","129,053","131,446","127,077","125,134","120,602","127,780","139,383"
"26","[P](U)","    Demand Media","97,615","104,273","104,701","112,544","109,050","111,734","122,203","125,615","137,175","127,140","116,938","125,465","125,721","126,716","125,412"
"27","[P]","    KuGou Inc.","44,561","60,957","67,871","63,908","68,553","87,601","89,784","92,738","98,090","96,593","97,476","96,191","85,285","92,858","111,190"
"28","[P](U)","    DAILYMOTION.COM","93,354","98,443","109,532","94,410","90,491","88,594","96,545","100,516","105,828","104,550","110,420","111,915","107,257","112,707","110,322"
"29","[P]","    Axel Springer AG","87,813","88,013","86,941","89,727","88,147","84,994","85,264","90,304","96,058","93,474","101,773","109,402","101,822","107,857","105,601"
"30","[P](U)","    Answers.com Sites","81,167","84,201","83,222","89,732","80,433","75,602","84,121","93,320","100,413","96,951","91,098","93,216","89,943","101,728","105,285"
"31","[P]","    IDG Network","46,630","45,948","41,891","42,878","42,880","41,621","44,903","45,247","45,218","46,011","44,197","46,450","43,500","48,012","102,144"
"32","[P](U)","    Terra - Telefonica","91,036","94,879","98,297","103,753","107,144","104,577","103,763","102,539","104,387","103,441","101,322","99,094","92,219","99,161","100,255"
"33","[P]","    Yandex Sites","76,237","79,433","80,772","82,008","80,883","81,379","81,318","82,637","85,807","86,845","89,965","90,359","89,862","94,719","93,050"
"34","[P](u)","    Federated Media Publishing","232,100","275,790","267,104","277,017","278,570","263,871","270,287","280,125","300,892","295,505","235,818","99,503","85,459","88,858","91,244"
"35","[P]","    Oak Pacific Interactive Sites","65,875","72,091","63,400","59,745","64,854","70,148","67,427","70,120","79,841","84,063","78,264","71,822","56,873","62,432","89,896"
"36","[P]","    PPLive Inc.","59,113","66,142","64,008","59,551","68,358","68,993","69,007","64,669","68,479","69,553","76,109","72,518","65,113","69,737","88,367"
"37","[P]","    PPStream, Inc.","52,152","62,846","61,815","58,777","61,962","70,636","74,266","72,466","76,267","75,980","83,214","85,886","77,423","74,352","87,773"
"38","[P]","    BABYLON.COM","72,695","84,109","92,505","100,049","106,416","117,586","90,733","84,783","131,366","130,090","125,498","118,334","101,492","85,627","87,049"
"39","[P]","    The Mozilla Organization","120,557","109,936","109,129","119,062","158,001","144,036","109,963","105,320","88,262","97,222","76,297","79,174","75,467","80,737","86,060"
"40","[P](u)","    NetShelter Technology Media","142,435","149,757","147,677","155,302","151,448","91,002","93,657","95,317","95,310","92,162","92,161","94,962","83,625","89,515","83,905"
"41","[P]","    Sun Microsystems, Inc.","28,931","38,443","37,479","35,598","34,394","43,400","42,449","46,606","46,040","38,704","36,477","43,215","48,467","57,413","83,117"
"42","[P](u)","    BBC Sites","73,269","73,232","72,097","74,298","72,090","71,757","79,690","73,403","79,012","76,141","74,472","79,513","74,792","80,076","80,454"
"43","[P]","    56.COM","29,674","35,137","34,174","33,324","35,849","44,461","44,368","44,367","53,468","56,746","62,688","57,232","44,299","56,119","79,282"
"44","[P]","    Orange Sites","68,461","71,353","69,394","72,858","67,695","62,267","62,315","66,311","76,291","83,355","74,936","75,136","72,925","76,789","76,145"
"45","[P]","    PCPOP Sites","39,134","46,886","41,370","36,669","36,346","44,153","46,838","50,811","48,380","52,879","58,662","52,464","39,892","51,284","76,071"
"46","[P]","    Priceline.com Incorporated","49,541","49,356","55,763","58,713","64,277","71,331","67,029","59,468","60,376","61,953","56,709","69,034","66,184","72,758","72,318"
"47","[P](u)","    Gannett Sites","70,932","69,145","64,451","65,590","62,905","66,080","71,632","67,823","71,562","67,906","64,832","69,496","65,784","70,239","71,754"
"48","[P]","    China Central Television Sites","25,401","29,010","25,475","26,068","36,835","47,286","51,099","35,681","37,706","43,850","43,483","46,465","45,102","48,484","70,354"
"49","[P](u)","    Hearst Corporation","19,324","21,690","21,668","23,206","22,755","20,768","21,792","22,175","25,711","31,129","29,313","79,836","74,290","76,390","69,433"
"50","[P]","    People's Daily online","27,236","30,986","25,834","24,343","27,195","27,339","31,315","37,470","33,026","48,051","48,532","47,588","40,441","49,726","68,887"
"51","[P]","    AVG Technologies","43,217","46,943","57,069","61,324","63,086","70,524","81,224","91,021","80,469","73,653","71,550","82,247","91,561","95,792","68,515"
"52","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","46,253","49,045","49,122","51,137","48,154","47,880","57,553","61,208","63,406","62,455","58,175","65,927","62,938","66,863","67,713"
"53","[P]","    EA Online","62,120","66,698","59,617","58,819","64,079","66,486","62,641","62,276","65,886","66,399","66,161","66,782","67,246","72,114","67,704"
"54","[P]","    China Telecom Sites","5,259","40,821","61,079","67,545","63,041","64,389","61,114","58,752","47,554","42,576","41,582","47,982","25,300","34,974","67,360"
"55","[P]","    MEDIAFIRE.COM","93,594","93,398","86,759","90,294","86,651","84,311","81,281","80,100","74,173","69,379","70,131","69,192","62,623","70,616","66,827"
"56","[P]","    Sony Online","72,734","68,179","59,812","64,605","66,683","72,148","67,806","67,331","67,895","69,655","74,744","69,013","64,828","76,260","65,989"
"57","[P](u)","    Spil Games","59,257","61,382","68,498","64,497","65,511","65,819","61,901","55,863","58,966","59,207","63,945","62,802","60,309","66,097","63,641"
"58","[P]","    Xinhua News Agency","28,185","30,002","28,305","26,571","27,605","30,253","30,882","30,842","29,987","38,020","36,584","32,132","26,851","45,624","63,225"
"59","[P](u)","    BUZZMEDIA","44,318","38,537","62,124","72,934","76,120","74,543","79,536","75,573","76,209","74,930","81,988","81,160","62,276","63,476","61,151"
"60","[P]","    NHN Corporation","78,997","78,995","78,506","79,567","78,740","79,064","80,387","79,028","77,429","76,659","77,174","77,634","60,053","61,397","60,836"
"61","[P]","    Wal-Mart","50,534","51,469","51,996","55,421","55,963","58,725","57,443","56,459","56,163","75,178","74,017","58,168","59,730","63,182","60,238"
"62","[P]","    2345.COM","32,819","32,544","26,919","27,500","30,639","34,768","33,074","34,568","39,925","44,422","45,377","40,365","33,055","38,305","60,079"
"63","[P]","    Expedia Inc","46,728","52,141","49,920","51,199","56,528","62,750","56,894","49,331","47,560","43,169","42,402","51,724","47,707","55,846","60,049"
"64","[P](U)","    ESPN","56,783","64,753","57,784","54,072","58,975","55,640","61,575","72,971","66,710","62,716","59,913","62,688","50,606","63,194","59,818"
"65","[P](U)","    CCM-Benchmark","52,361","51,982","51,089","50,116","47,047","44,585","41,687","42,847","45,841","47,142","48,099","50,486","47,847","53,570","59,596"
"66","[P]","    Rakuten Inc","68,319","69,836","70,750","72,785","72,255","70,386","70,047","68,285","68,426","66,304","68,153","65,981","60,216","62,335","59,493"
"67","[P](U)","    New York Times Digital","134,466","136,017","127,092","132,671","123,804","120,868","134,693","133,489","54,990","55,505","47,412","51,127","47,797","52,018","59,253"
"68","[P]","    Valve Corporation","20,592","21,162","21,236","21,810","23,076","26,148","27,845","53,050","53,329","55,393","59,898","60,197","59,480","60,069","58,708"
"69","[P]","    58.COM","33,042","38,032","35,145","35,863","38,076","42,166","40,419","39,700","39,222","40,172","39,725","38,688","34,931","45,622","58,666"
"70","[P](U)","    Wikia Sites","47,809","50,647","48,711","50,808","50,505","50,541","52,108","53,111","59,358","59,266","59,631","62,446","54,423","57,337","58,647"
"71","[P](U)","    UOL","48,370","51,163","51,055","51,383","51,351","50,065","49,818","48,662","51,623","50,011","48,787","48,753","56,759","59,130","58,003"
"72","[P]","    FC2 inc.","60,237","60,687","60,214","60,551","60,543","61,191","61,452","60,552","59,494","58,640","58,424","58,985","55,463","57,491","56,861"
"73","[P]","    Deutsche Telekom","52,565","53,075","54,726","54,206","54,202","53,095","52,399","55,510","56,852","57,674","56,252","56,510","51,080","53,621","55,371"
"74","[P]","    craigslist, inc.","56,658","57,298","55,824","56,339","57,165","59,667","56,995","53,878","52,079","50,218","48,901","51,921","50,757","53,948","53,983"
"75","[P](U)","    CraveOnline (Evolve Media LLC.)","39,439","38,507","38,171","37,900","36,367","34,144","34,716","32,787","53,956","54,870","61,794","62,598","54,858","57,268","53,860"
"76","[P](u)","    WebMD Health","31,256","32,582","31,304","32,168","31,411","31,219","44,771","44,972","50,281","48,490","44,643","52,723","48,101","51,304","51,632"
"77","[P]","    MIH Limited","45,478","46,838","48,624","51,728","48,853","50,115","52,171","53,566","54,291","53,319","55,357","60,331","53,494","54,000","50,732"
"78","[P]","    China Mobile Sites","35,342","37,753","33,193","35,862","33,908","37,184","37,335","37,801","38,811","41,439","45,498","40,976","32,505","37,375","50,727"
"79","[P](u)","    Globo","44,867","46,469","45,567","46,731","47,116","46,779","46,869","45,869","47,817","45,826","43,688","46,368","46,919","50,997","50,646"
"80","[P](u)","    Break Media","79,026","79,818","78,591","81,251","79,976","82,133","69,900","64,012","61,190","60,056","60,214","58,755","50,280","54,403","50,365"
"81","[P]","    MercadoLibre","35,994","38,647","38,683","40,743","39,412","39,834","39,536","38,887","40,431","40,653","41,243","42,603","45,938","50,092","50,008"
"82","[P]","    Conde Nast Digital","43,494","45,494","45,678","45,581","38,072","35,659","40,197","41,820","45,345","43,409","45,399","50,071","44,332","49,570","49,897"
"83","[P]","    CHINA.COM.CN","14,057","18,059","15,076","13,863","14,172","14,962","15,972","17,047","17,707","25,209","19,425","18,182","14,264","28,292","48,537"
"84","[P](u)","    OLX Inc.","52,278","55,081","53,225","56,140","52,514","53,045","50,606","52,659","55,401","53,345","47,010","50,245","44,185","51,306","47,173"
"85","[P]","    Technorati Media","114,164","122,967","120,462","123,727","112,688","111,714","114,410","109,892","88,851","82,650","84,149","87,499","64,448","81,390","47,089"
"86","[P]","    GSN Games","39,881","39,793","40,872","40,944","40,356","41,276","38,785","32,727","33,287","33,206","38,876","44,203","42,106","48,824","46,887"
"87","[P]","    Samsung Group","34,770","36,569","35,002","42,859","43,833","43,955","42,473","42,110","43,453","46,167","51,359","41,136","36,211","44,438","46,158"
"88","[P](u)","    Disney Online","48,404","52,427","49,343","49,669","50,044","50,478","49,300","48,010","49,148","44,133","44,451","42,331","40,327","48,469","43,980"
"89","[P](U)","    Meredith Digital","21,473","21,697","41,851","42,132","41,749","42,362","42,587","42,784","50,330","51,144","59,585","52,518","47,036","51,994","43,059"
"90","[P]","    Gretech Corp.","62,154","62,192","59,593","59,908","58,690","57,698","56,847","55,332","54,762","53,372","54,619","55,639","46,799","43,780","42,921"
"91","[P]","    Hewlett Packard","36,607","39,695","35,919","35,892","34,283","38,109","36,218","37,893","37,844","37,284","37,728","40,566","34,408","40,217","42,779"
"92","[P](U)","    Monster, Inc.","46,794","51,183","43,699","44,312","42,031","45,630","45,463","45,133","49,367","45,518","39,484","48,163","43,548","44,510","42,765"
"93","[P](U)","    YELP.COM","32,272","34,180","33,837","35,158","34,984","35,269","37,738","36,521","38,361","37,788","38,856","43,025","41,155","44,259","42,620"
"94","[P]","    NETFLIX.COM","36,379","34,251","33,343","35,518","34,029","37,007","34,401","36,453","36,829","36,174","40,653","40,912","39,718","45,163","42,470"
"95","[P]","    GANJI.COM","23,487","27,543","24,345","21,379","21,421","26,610","26,034","25,349","26,383","26,763","25,733","25,607","19,091","33,858","42,229"
"96","[P]","    Ctrip.com International","12,840","14,020","13,806","14,432","17,891","19,901","20,445","22,861","22,978","22,112","22,694","27,214","23,357","26,778","41,707"
"97","[P](u)","    SheKnows","32,988","32,857","32,690","34,075","35,307","37,619","39,263","39,321","41,760","39,073","42,392","43,227","37,493","39,554","41,270"
"98","[P]","    DOUBAN.COM","32,118","31,887","28,813","28,105","29,072","31,876","32,716","32,463","34,702","35,367","37,804","35,203","29,410","32,477","41,194"
"99","[P]","    WIKIHOW.COM","19,618","21,275","21,602","23,774","26,468","28,973","26,123","25,205","27,069","25,610","25,544","27,953","28,634","36,439","40,712"
"100","[P]","    HEXUN.COM","16,540","20,913","21,638","20,709","21,123","25,302","24,178","34,546","31,926","35,533","33,434","30,802","16,420","26,816","40,685"
"101","[P](U)","    Internet Brands, Inc.","41,511","43,794","43,846","44,800","41,680","41,071","43,612","42,012","43,732","40,146","41,035","44,422","37,798","41,203","40,348"
"102","[P](u)","    Gawker Media","30,941","32,296","31,402","29,752","29,793","29,456","35,061","39,390","39,033","33,405","39,472","43,325","38,450","38,628","39,753"
"103","[P](U)","    AlloCine Sites","28,110","27,176","27,401","26,348","27,627","28,360","28,011","27,698","30,317","32,107","34,512","35,202","34,013","35,536","39,696"
"104","[P]","    China Construction Bank","18,664","21,816","20,486","20,182","20,707","22,852","24,609","25,294","25,534","28,497","30,794","31,335","24,127","27,718","39,557"
"105","[P](U)","    T365 - Tribune","42,132","43,273","40,968","40,344","37,066","38,963","42,879","43,304","45,060","43,567","42,470","41,095","40,299","37,147","39,300"
"106","[P](u)","    Time Warner (Excl. Turner/WB)","35,586","36,936","37,316","38,331","37,608","25,171","27,106","26,373","28,277","26,928","27,652","38,565","37,039","38,466","39,238"
"107","[P]","    United-Internet Sites","36,462","37,358","37,001","36,352","35,532","37,311","38,207","35,963","36,385","35,442","36,604","37,544","35,756","38,716","38,624"
"108","[P]","    CyberAgent","41,753","44,582","42,784","43,723","43,432","44,658","44,562","43,954","41,774","41,099","40,549","40,457","36,605","39,956","38,603"
"109","[P](u)","    Geeknet","40,748","42,410","40,299","40,107","39,172","37,769","38,687","40,086","43,785","42,101","42,956","44,156","40,330","43,450","38,152"
"110","[P]","    FUNSHION.COM","18,083","20,457","16,280","16,334","17,449","17,741","16,980","21,192","22,885","26,553","31,611","33,369","24,340","27,515","37,993"
"111","[P]","    NTT Group","42,135","44,091","41,342","43,102","41,720","42,538","42,495","42,149","40,975","39,923","39,816","40,920","37,672","39,032","37,352"
"112","[P]","    Alloy Digital Properties","51,984","55,427","39,928","42,355","36,922","37,259","36,991","29,967","33,750","34,008","36,204","34,467","30,881","34,888","37,320"
"113","[P](u)","    Everyday Health","35,274","37,125","35,109","35,418","33,409","33,359","36,791","34,236","38,196","40,637","35,763","39,259","36,666","38,930","37,313"
"114","[P](u)","    The Washington Post Company","31,710","32,358","31,000","28,803","28,030","27,984","35,805","32,519","38,019","35,196","34,445","33,057","32,718","34,550","37,170"
"115","[P]","    120ASK.COM","12,231","13,705","14,667","15,676","16,541","18,763","19,010","18,402","20,653","21,507","20,619","21,357","16,866","24,520","37,117"
"116","[P](u)","    Discovery Digital Media Sites","39,024","40,159","38,051","38,186","32,818","32,125","35,453","37,466","42,885","41,214","36,932","40,169","36,197","37,098","36,907"
"117","[P]","    Real.com Network","54,681","52,619","49,663","57,995","59,874","55,859","41,768","40,761","44,298","39,766","44,656","41,034","35,094","39,992","36,622"
"118","[P]","    DANGDANG.COM","30,164","33,144","26,637","28,808","37,925","22,851","26,787","29,785","30,052","33,064","30,134","26,241","18,602","27,190","36,036"
"119","[P](U)","    WORDREFERENCE.COM","16,464","17,733","16,573","18,354","15,998","24,285","25,495","29,422","32,623","31,470","25,329","29,938","31,250","34,517","36,020"
"120","[P]","    39.NET","15,460","16,944","14,683","12,481","12,274","15,193","16,860","16,735","17,748","18,023","18,675","20,040","16,815","23,587","35,911"
"121","[P](U)","    Times Internet Limited","25,748","28,061","28,474","30,189","28,994","31,147","32,063","32,368","35,302","34,290","35,723","36,160","32,919","35,096","35,467"
"122","[P](u)","    Dow Jones & Company","32,509","32,781","31,891","33,348","33,050","33,521","37,355","36,567","40,027","37,683","31,365","35,024","32,357","33,980","35,226"
"123","[P](u)","    YP Local Media Network","35,558","36,451","35,416","37,990","34,423","35,316","36,531","34,235","35,788","34,403","32,216","31,928","30,762","33,743","35,195"
"124","[P]","    Otto Gruppe","35,591","34,943","31,634","33,552","30,261","31,065","30,517","32,686","35,150","38,975","36,708","36,970","33,935","39,220","35,087"
"125","[P]","    UPLOADED.NET","44,116","40,113","32,793","31,062","27,983","27,193","17,011","124","72","34,139","34,349","35,095","34,848","38,248","34,754"
"126","[P]","    Dwango Co., Ltd.","34,130","36,101","35,600","36,314","36,368","36,616","36,781","36,204","35,955","34,313","34,682","35,084","32,951","34,701","34,337"
"127","[P]","    Groupe PPR","34,810","36,221","34,644","36,424","34,675","34,202","31,530","33,674","34,408","35,983","37,643","34,872","32,579","33,975","34,311"
"128","[P](U)","    Scripps Networks Interactive Inc.","30,812","30,780","31,499","31,127","30,576","31,569","33,748","33,869","35,979","40,436","42,385","39,009","35,031","37,715","34,088"
"129","[P]","    SouFun.com Limited","22,507","25,959","21,270","22,412","25,505","27,312","28,564","18,525","18,845","20,383","19,441","15,579","15,717","23,996","33,450"
"130","[P](u)","    Prisa","34,324","37,956","36,303","35,689","34,546","28,804","28,728","30,226","32,401","30,531","26,720","29,956","29,932","31,538","33,010"
"131","[P](u)","    IG Portal","74,934","76,505","68,069","68,891","67,373","64,613","31,297","30,577","31,514","29,721","28,809","30,007","31,409","32,633","32,395"
"132","[P](U)","    DEVIANTART.COM","42,846","42,562","41,452","41,941","39,913","38,924","40,507","40,542","43,687","41,705","43,822","45,380","30,010","32,092","31,705"
"133","[P]","    Hubert Burda Media","33,782","33,741","32,753","33,500","31,841","32,524","32,073","32,269","31,917","31,592","33,176","36,088","32,801","35,575","31,404"
"134","[P]","    IncrediMail Ltd","20,785","24,262","19,238","20,651","27,880","34,985","40,400","44,805","46,148","46,303","46,679","46,128","38,818","34,374","31,165"
"135","[P]","    Rambler Media","23,754","24,431","23,099","23,662","23,783","23,047","22,724","24,378","26,056","26,614","26,239","26,768","28,398","31,373","30,787"
"136","[P]","    CDC Corporation Sites","14,901","16,251","15,456","15,504","14,816","16,335","17,946","21,914","18,123","18,625","18,799","19,662","15,475","18,901","30,637"
"137","[P](u)","    Populis","23,374","23,042","25,108","25,363","23,380","25,007","26,781","25,838","28,535","27,812","25,410","26,608","26,402","28,752","30,249"
"138","[P]","    SCRIBD.COM","10,615","12,374","12,979","25,890","15,274","13,797","15,269","17,801","21,414","19,332","12,972","14,930","16,539","18,830","30,161"
"139","[P]","    Lycos Global Search And Media","36,816","38,465","35,528","36,213","32,859","34,487","36,380","33,889","34,196","31,062","28,941","29,543","27,799","31,912","29,237"
"140","[P]","    RosBusinessConsulting","34,474","35,663","33,226","33,340","31,703","30,577","30,908","31,257","32,917","32,864","32,844","32,041","31,118","32,761","29,172"
"141","[P]","    Groupe Lagardere","32,927","33,972","33,049","34,531","32,543","29,964","28,680","28,964","30,345","29,383","30,842","31,635","28,177","31,687","29,028"
"142","[P]","    Vodafone Group","29,014","28,279","28,906","28,401","28,474","28,412","28,044","28,373","29,298","27,976","29,961","31,675","29,728","30,920","28,988"
"143","[P]","    Infospace Network","8,877","11,048","10,186","8,717","9,962","11,475","10,344","11,919","12,873","12,053","18,407","24,483","26,433","26,370","28,828"
"144","[P]","    DUOWAN.COM","15,330","17,090","16,298","14,972","17,101","20,970","21,101","18,963","21,168","22,237","23,552","23,767","21,981","22,653","28,676"
"145","[P](u)","    Network 18","24,470","24,811","24,969","26,070","24,401","25,788","27,010","27,887","30,152","29,975","31,181","30,994","27,171","27,496","28,213"
"146","[P](u)","    Ticketmaster","27,501","28,931","27,488","26,621","25,651","25,756","27,299","27,892","29,404","30,365","27,986","27,975","28,875","29,195","28,184"
"147","[P](U)","    Telegraph Media Group","15,036","15,368","15,614","16,431","15,873","17,477","17,562","17,807","30,083","30,748","29,476","31,161","27,474","27,335","28,107"
"148","[P](u)","    Reuters Sites","25,796","24,314","23,094","24,139","24,925","25,818","26,439","26,126","28,860","25,465","23,971","24,422","25,696","27,733","28,060"
"149","[P]","    RTL Group Sites","30,105","29,381","29,918","32,106","30,339","30,366","29,293","29,647","28,448","27,477","28,255","28,793","25,902","28,346","28,030"
"150","[P](u)","    Liberty Interactive Corporation","31,769","27,588","29,241","33,628","27,683","26,557","28,913","29,859","35,649","34,966","34,849","29,314","31,623","28,368","27,509"
"151","[P]","    NIH","26,448","27,427","26,483","26,297","23,952","22,666","23,243","26,040","29,480","27,623","23,817","25,985","26,214","28,449","27,271"
"152","[P]","    Symantec","31,220","32,324","29,688","28,606","28,133","28,176","27,101","28,170","28,561","27,278","27,185","27,596","24,251","26,834","27,147"
"153","[P]","    Agricultural Bank of China","12,310","15,174","13,690","13,678","13,957","16,557","17,247","18,288","18,720","20,099","20,681","21,325","16,977","19,869","27,136"
"154","[P]","    ProSiebenSat1 Sites","27,918","28,654","29,853","29,873","27,876","28,091","26,789","25,485","25,145","24,342","25,639","25,192","24,400","27,221","27,027"
"155","[P]","    Solocal Group","32,050","32,693","31,224","32,959","30,926","31,078","30,351","30,813","31,037","29,387","28,766","30,217","26,083","27,636","26,963"
"156","[P]","    GMO Internet Group","33,272","34,198","33,228","33,550","33,884","33,530","32,962","31,776","30,568","29,279","29,338","29,783","25,816","27,403","26,729"
"157","[P](u)","    Grupo Abril","14,762","16,337","17,040","19,268","21,175","20,326","22,333","21,769","22,737","21,688","19,798","21,644","23,997","26,672","26,538"
"158","[P]","    BADOO.COM","30,696","34,406","36,944","36,492","25,868","26,473","25,429","25,108","24,159","23,211","22,937","24,626","24,239","25,582","26,317"
"159","[P]","    AT&T, Inc.","23,194","22,442","21,610","21,627","22,790","23,439","23,809","24,873","23,175","23,449","27,522","26,305","25,054","27,427","26,312"
"160","[P]","    Sakura Internet","30,091","31,592","30,451","30,801","31,493","31,955","31,226","30,644","29,109","28,280","28,412","28,617","25,188","26,255","26,267"
"161","[P](U)","    LeGuide.com Sites","16,751","17,260","31,452","32,671","29,481","27,901","28,074","27,742","30,168","32,196","31,739","31,724","26,799","28,490","26,206"
"162","[P](U)","    Forbes Digital","19,860","19,737","19,050","20,226","19,326","18,537","21,018","21,222","25,264","23,801","22,969","26,383","25,604","26,964","26,196"
"163","[P]","    Bank of America","24,158","24,150","23,247","23,368","23,792","25,177","26,668","26,714","27,284","26,488","27,261","27,078","25,680","25,670","26,028"
"164","[P](U)","    CareerBuilder LLC","27,572","27,789","26,691","26,982","25,472","26,574","27,665","26,859","28,340","27,185","24,773","26,636","25,409","27,120","25,944"
"165","[P]","    Opera Software","36,290","37,490","34,892","34,763","31,637","29,757","29,337","29,607","29,444","30,165","28,963","28,020","26,924","27,749","25,797"
"166","[P](U)","    Bestofmedia Group","26,501","26,309","25,244","25,916","25,297","25,125","25,903","26,126","28,306","29,374","28,604","30,141","26,379","28,238","25,634"
"167","[P](u)","    Groupe TF1","24,514","26,056","24,800","26,456","25,541","24,437","26,172","25,555","25,881","25,562","25,091","26,836","25,093","27,380","25,453"
